Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0307627616177958,0.000549238552584501,-0.00425853947056134,0,0,0,0.0423703289501895,5.7445737473777E-06,5.7331555415411E-08,-9.66440659026013E-07,3.57525225953111E-05,1.72548380186777E-08,4.02091930018452E-05,0,0,0,0,0,0,package://urdf_ex/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_ex/meshes/base_link.STL,,base_link-1,origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0686137321462363,-4.33680868994202E-19,0.00550314814927754,0,0,0,0.0624387202477187,8.72495874801279E-06,-3.79626509091789E-22,-1.76140121217567E-06,0.00012636124611967,1.16596805275555E-22,0.000133448854730092,0,0,0,0,0,0,package://urdf_ex/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_ex/meshes/link1.STL,,link1-1,link1,joint1,joint1,continuous,0,0,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2,0.0580112291549358,3.25260651745651E-19,0.00441983809309461,0,0,0,0.0541502745388295,7.54834281403493E-06,-1.23878136683066E-22,1.44351566352889E-06,8.25281653332867E-05,1.61893646668828E-22,8.85821376886491E-05,0,0,0,0,0,0,package://urdf_ex/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_ex/meshes/link2.STL,,link2-1,link2,joint2,joint2,continuous,0.124680874083399,0,0.01,0,0,0,link1,0,0,-1,,,,,,,,,,,,
ef_link,0,3.79470760369927E-18,-0.005,0,0,0,0.0128584073464102,2.161946911547E-06,5.80499913184947E-23,7.53746385330028E-24,2.161946911547E-06,6.3048615084558E-23,4.10958703398717E-06,0,0,0,0,0,0,package://urdf_ex/meshes/ef_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_ex/meshes/ef_link.STL,,ef_link-1,ef,joint3,joint3,continuous,0.103959759811176,0,0,0,0,0,link2,0,0,-1,,,,,,,,,,,,
